all_features1,all_features2,all_features3,all_features4,all_features5,all_features6,all_features7,all_features8,all_features9,all_features10,all_features11,all_features12,all_features13,all_features14,all_features15,all_features16,all_features17,all_features18,all_features19,all_features20,all_features21,all_features22,all_features23,all_features24,all_features25,all_features26,all_features27,all_features28,all_features29,all_features30,all_features31,all_features32,all_features33,all_features34,all_features35,all_features36,all_features37,all_features38,all_features39,all_features40,all_features41,all_features42,Valence,Arousal,Dominance
5.81849958966064,4.03124090593136,3.44996578198006,5.61962460337857,3.84621284298673,3.30563333750191,3.38153699775832,2.57240302887579,2.65455245979579,3.07874444346692,2.43666525093391,2.30649744986308,4.64753829755313,2.83845455887298,3.10128755141878,5.18896055970224,3.72093281196854,3.0596788857454,3.67075812750263,2.79498561970905,2.50180379540386,4.47702681199402,3.06793450210443,2.97348754169838,3.5495634221069,2.61708858005678,2.31559321321519,4.89492226862102,2.99767987498823,3.15326034700895,3.15571091389215,2.84066737199185,2.52662152265677,4.01702564938709,2.92127859761248,2.47406145998514,4.05563398474017,2.72808161788361,2.63494341470045,5.2437334882135,3.83224506010668,3.53702217740141,4,3,2
5.184837004267,4.0982779985221,3.29827484405893,4.98946201652342,3.93293645054517,3.1012842503462,2.86346391745905,3.13594518563152,2.59893521821445,3.0570140670835,2.62434089975286,2.83999373849861,4.15110093291967,3.60523333060101,3.3002706431965,4.34963427325952,3.22729421312309,2.65634449427099,3.67803764328126,3.70597277678662,2.85855517157301,4.23430114602957,3.35377738696544,3.39825889998945,3.57765340054542,3.208335746643,2.94410363372595,4.33271383643742,3.64612575302527,3.33130286214207,3.24786042309609,3.06632371937556,3.05793132521199,3.54972019367547,2.91551784871324,2.54976744596979,3.77382106237254,3.456114050886,3.31795907813599,5.1272880778187,4.08450663316321,3.64663143186325,3,3,1
5.11672331325689,4.30442971721042,3.92090822645589,4.91851404768901,4.0861119096425,3.73577873183472,2.5630152264059,2.51508323447703,2.72128253474211,3.77588276842858,3.78642226474045,3.7251730059484,4.33254588441132,3.94471434011889,3.87309436021271,4.50488477132061,3.98384792085399,3.74821555391715,3.87031104944603,4.00024524211853,3.88135540071031,4.1658320652752,3.76351156044524,3.68039955091067,3.65389143736103,3.52128287250631,3.41360961462344,4.35046178948924,3.77084320443567,3.9058568149398,3.22455811711753,3.37547316507709,3.62864270261009,3.54605356884958,3.16465703993,3.13607557441581,4.13161927992989,3.8217151059716,3.67050703243356,4.89766546936117,4.14584351454362,3.93522939630401,5,4,4
4.60565615355297,3.36746075314108,3.17350042036208,4.41957510806386,3.17181211848791,2.95869751142494,3.22489309608623,1.1895175411166,1.38655579365887,2.07496184614969,1.15361670496951,1.43146281402902,4.0045821593229,2.21931106757334,2.45808864478389,3.84445956218879,2.42733486804292,2.27736546545493,2.69201326546595,1.37164041483067,1.40307876585201,3.84351960227914,2.22521974739256,1.80085734059027,3.00708824239858,1.92858117260372,1.67848997282174,4.71652333412298,2.40654821496381,2.91598333614111,2.37159962896319,1.60481271705027,1.74831722462675,3.28817688532422,1.73432621129325,1.67678730643791,3.84086463260934,2.43818203562764,2.35556720554165,4.69158181322458,3.07755613271213,3.20469799361058,4,3,2
5.27024623402899,3.55527597940792,3.14140278520804,5.06090076915249,3.37964536693731,2.95479710460181,5.19049987313204,4.23909837353796,4.04092695815069,3.94176112798604,2.27961526646026,1.87881316323444,5.08941504026407,2.95068448207258,2.79128443630989,4.72994445033891,2.72793708377432,2.37341797805748,3.31958952591921,2.1233842992718,2.06070876391283,3.92566715365407,3.15420965779436,2.96051224164537,3.4724283155156,3.14143197156529,3.15007582479456,5.55174185192418,2.81728210576611,2.85067929762751,3.43734584758526,2.49391487103732,2.29326649481883,4.34953839991209,2.45301232974864,2.37779300536541,4.87757702365191,2.91731517613643,2.89139754091628,5.62757438304014,3.199390779733,3.08710094095566,4,4,4
7.86457779614323,7.61732137092524,6.65200158127037,7.72265547050613,7.4647138985472,6.54286547893551,6.59931423667293,7.33659853739533,6.67503196031179,7.82581067053096,7.8294259254311,7.02109867362513,7.51079412362295,7.74478795755623,6.88411058875551,7.61533492878485,7.32499094631636,6.59599498984969,7.2593629789007,7.64955598296733,6.80157470780847,7.12598383611228,7.64785776372426,7.42032882993165,7.32420201201549,7.52949845572359,6.52962536624004,7.41353566146393,7.5113133284325,6.68865284341527,6.85193038223186,7.56676283834652,7.0208567587437,7.36414344395835,7.33897383950158,7.22763889320723,7.09151726495743,7.8145796835139,6.96908346841419,7.31675864724803,7.60936152778972,6.81728520324527,1,2,5
5.73644900696053,4.67970274418597,3.9951297739364,5.56823459945376,4.45827767149168,3.84668600433413,4.48871595629707,4.30858863503493,4.00824436186642,4.52938623431647,4.50823840428048,4.71364361606294,5.10243853450749,4.3827678198555,4.30566313875974,5.26409402112823,4.22199441045989,3.70305106632436,4.7604043905596,4.55602117564421,4.73970152280697,4.93259471933072,4.10718422728998,4.49943465396189,4.78486209571618,4.1922961381647,4.00302713785566,5.48055320439217,4.56550693659294,4.50153672016271,4.15403837014105,4.2471414407288,4.72895366690248,4.71566022818004,4.23029662314107,4.11355853160014,4.70683960856143,4.06196504981704,3.99730599298998,5.29381029214027,4.57320470090146,4.60794668934954,5,4,4
5.65824047623581,4.77665665123474,4.14271286265842,5.49648336297998,4.59187425063289,4.00621525816542,4.7322078449013,4.25922335970248,3.86639314799629,4.94575160683787,4.86838935455453,4.35119450927154,5.35328067664315,4.77080143226569,4.46665257990594,5.33003413188055,4.53862030215453,3.89180980698103,5.06971655166834,4.63670064395769,4.47893260296265,5.18386248747502,4.62327129190044,4.39561263376382,4.95762549714859,4.53748366658565,4.23887318582312,5.8405051145397,4.82034330027281,4.61445928528147,4.77482022598547,4.6164435038882,4.67248939521301,4.30514410149592,3.33049486560934,3.2999998976797,4.76073872723689,4.47113983661792,3.89822137901633,5.56748042214184,4.90200697609507,4.64785445896029,1,2,4
7.02388770295964,5.16975871926086,6.3966461683192,7.05637547691655,5.02755846509775,6.36840288024384,7.18580882701264,5.03877782947992,6.55508537847053,6.92683448555757,6.13092260450466,6.48416503576726,7.19398023165252,6.11279689985394,6.68041061884037,7.06207345034187,5.07305751595188,6.492820782829,6.32332620707811,6.99361624962529,6.05940371005164,6.8340534441698,6.82880278462055,6.3248456429437,6.61080872356002,6.06708981060408,6.52457115437037,7.41023210626049,6.03482684566173,6.65321338795206,6.79776102984504,7.28250887280494,6.55376205556589,7.14016660391774,4.28986983051476,6.52943696603925,6.88149990451175,6.04730687566582,6.62758400468302,7.24335431144932,6.1067281833726,6.56343745789447,1,2,3
3.46680260657782,2.86270019272278,3.10213091935457,3.79888382876554,3.24105274658349,3.07962795669182,2.73980738975139,2.18053386353685,1.55284696123077,2.62243044161996,1.52573537967691,1.31054690595085,2.89063086518918,2.17942909630265,1.7866881200869,2.67560826343518,1.76649885078668,1.54350448202903,2.92459551072744,2.0353471775174,1.7018110776733,2.89407345425045,2.20014710866615,1.49439003225553,2.63487232280099,1.83967471838519,1.58155311433665,3.00575445958797,2.262066524842,3.07294031609065,2.69342869826783,1.83543859371184,2.06390437972487,2.64254112547099,1.27018949395304,1.22804775013568,4.05056565526873,3.7001963243675,2.98147401847594,7.11212814894955,5.54911088287391,4.34436801015169,5,3,4
